index,remedy_type,condition_type1,condition_type2,condition_type3,condition_type4,condition_type5,condition_type6,condition_type7,condition_type8,condition_type9,label,remedy_name
57,scrub,oily,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57,Oats Scrub
58,scrub,pimple,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58,Rice Scrub
59,scrub,moisturising,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59,Honey Scrub
60,scrub,normal,pimple,cleansing,normal,NaN,NaN,NaN,NaN,NaN,60,Coffee Scrub
61,scrub,dark spots,tan,acne,wrinkles,NaN,NaN,NaN,NaN,NaN,61,Dark Spots Wrinkles Acne Homemade Face Scrub
62,scrub,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,Banana Ginger Homemade Face Scrub
63,scrub,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,Diy Exfoliating Face And Body Scrub
64,scrub,pigmentation,cleansing,acne,normal,open pores,NaN,NaN,NaN,NaN,64,Best Diy Scrub For Skin Whitening
65,scrub,acne,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,Homemade Face And Body Scrub For Skin Glowing
66,scrub,pigmentation,brightening,acne,dark circle,NaN,NaN,NaN,NaN,NaN,66,Turmeric And Sugar Body Scrub
67,scrub,brightening,open pores,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,Olive Oil And Sugar Scrub
68,scrub,dry,pigmentation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,Best Almond Body Scrub At Home Easy Making
69,scrub,dark spots,glowing,moisturising,acne,pimple,cleansing,open pores,brightening,NaN,69,Sugar Scrub For Face And Body
70,scrub,pigmentation,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,Reduce Pigmentation Scrub
71,scrub,dry,tan,glowing,brightening,dullness,NaN,NaN,NaN,NaN,71,Brightening Scrub
72,scrub,dry,dullness,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,Coffee And Oil Scrub
73,scrub,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,Ubpigmentation And Coffee Scrub
74,scrub,pigmentation,glowing,brightening,NaN,NaN,NaN,NaN,NaN,NaN,74,Rice Powder Scrub
75,scrub,pigmentation,glowing,moisturising,NaN,NaN,NaN,NaN,NaN,NaN,75,Turmeric And Sugar And Coconut Oil Scrub
76,scrub,glowing,tan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,Hair Removal Ubpigmentation
77,scrub,glowing,tan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,Traditional Ubpigmentation
78,scrub,oily,glowing,dullness,NaN,NaN,NaN,NaN,NaN,NaN,78,Oily Skin Ubpigmentation
79,scrub,dry,glowing,dullness,NaN,NaN,NaN,NaN,NaN,NaN,79,Dry Skin Ubpigmentation
80,scrub,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,Oats And Milk Remedy
81,scrub,dry,brightening,dullness,moisturising,NaN,NaN,NaN,NaN,NaN,81,Dull Skin Remedy
82,scrub,dry,glowing,dullness,moisturising,NaN,NaN,NaN,NaN,NaN,82,Honey Remedy
83,scrub,dark spots,tan,pigmentation,NaN,NaN,NaN,NaN,NaN,NaN,83,Uneven Tan Scrub
84,scrub,dullness,acne,pimple,NaN,NaN,NaN,NaN,NaN,NaN,84,Acne Prone Scrub
85,scrub,brightening,dark circle,anti ageing,NaN,NaN,NaN,NaN,NaN,NaN,85,Rose And Almond Scrub
86,scrub,tan,glowing,brightening,NaN,NaN,NaN,NaN,NaN,NaN,86,Rice Flour Scrub
87,scrub,dark spots,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,Aloe And Sugar Remedy
88,scrub,dark spots,pigmentation,glowing,NaN,NaN,NaN,NaN,NaN,NaN,88,Haldi Ubpigmentation Scrub
89,scrub,dry,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,Coffee And Coconut Oil
90,scrub,glowing,brightening,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,Baby Oil And Coffee
91,scrub,pigmentation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,Orange Peel Powder And Rice Powder Mask
92,scrub,glowing,moisturising,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,Oats And Besan Remedy
93,scrub,dark spots,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,Tomato And Rice Remedy
94,scrub,glowing,whitening,wrinkles,NaN,NaN,NaN,NaN,NaN,NaN,94,Flaxseed Scrub
95,scrub,brightening,moisturising,oily,dullness,anti ageing,NaN,NaN,NaN,NaN,95,Sugar And Olive Oil Scrub
96,scrub,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,Sea Salt And Lavender Scrub
97,scrub,glowing,moisturising,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,Oatmeal And Yogurt Scrub
98,scrub,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,Coffee And Coconut Oil Scrub
99,scrub,glowing,whitening,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99,Sugar And Lemon Scrub
100,scrub,anti ageing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,Sea Salt And Grapefruit Scrub
101,scrub,moisturising,open pores,glowing,dry,tan,anti ageing,NaN,NaN,NaN,101,Oatmeal And Honey Scrub
102,scrub,moisturising,tan,dullness,anti ageing,NaN,NaN,NaN,NaN,NaN,102,Coffee And Brown Sugar Scrub
103,scrub,dry,acne,pimple,NaN,NaN,NaN,NaN,NaN,NaN,103,Sugar And Cinnamon Scrub
104,scrub,oily,dry,normal,pimple,tan,brightening,dullness,NaN,NaN,104,Sea Salt And Peppermint Scrub
105,scrub,glowing,wrinkles,brightening,anti ageing,NaN,NaN,NaN,NaN,NaN,105,Oatmeal And Green Tea Scrub
106,scrub,brightening,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,106,Sugar And Grapefruit Scrub
107,scrub,brightening,acne,pimple,NaN,NaN,NaN,NaN,NaN,NaN,107,Coffee And Vanilla Scrub
108,scrub,brightening,dullness,wrinkles,moisturising,dry,glowing,anti ageing,NaN,NaN,108,Sugar And Almond Oil Scrub
109,scrub,dry,moisturising,brightening,open pores,NaN,NaN,NaN,NaN,NaN,109,Sea Salt And Rose Scrub
110,scrub,dry,tan,wrinkles,normal,acne,pigmentation,dullness,cleansing,brightening,110,Oatmeal And Avocado Scrub
111,scrub,dry,tan,wrinkles,anti ageing,moisturising,NaN,NaN,NaN,NaN,111,Coffee And Cocoa Scrub
112,scrub,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,112,Sugar And Jojoba Oil Scrub
113,scrub,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,113,Sea Salt And Eucalyptus Scrub
114,scrub,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,114,Oatmeal And Chamomile Scrub
115,scrub,dry,moisturising,dullness,brightening,whitening,normal,cleansing,NaN,NaN,115,Coffee And Honey And Lemon Scrub
116,scrub,brightening,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,116,Sugar And Grapefruit Scrub
117,scrub,anti ageing,acne,dry,brightening,NaN,NaN,NaN,NaN,NaN,117,Sea Salt And Almond Oil Scrub
118,scrub,dry,dullness,NaN,NaN,NaN,NaN,NaN,NaN,NaN,118,Oatmeal And Aloe Vera Scrub
119,scrub,brightening,pigmentation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,119,Coffee And Rosemary Scrub
120,scrub,brightening,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,120,Sugar And Lavender Scrub
121,scrub,brightening,normal,dullness,dry,NaN,NaN,NaN,NaN,NaN,121,Sea Salt And Lemon Scrub
122,scrub,brightening,moisturising,dullness,dry,NaN,NaN,NaN,NaN,NaN,122,Oatmeal And Honey And Almond Scrub
123,scrub,dullness,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,123,Coffee And Mint Scrub
124,scrub,dullness,open pores,moisturising,dry,NaN,NaN,NaN,NaN,NaN,124,Sugar And Tea Tree Oil Scrub
125,scrub,dullness,dry,glowing,pimple,NaN,NaN,NaN,NaN,NaN,125,Sea Salt And Orange Scrub
126,scrub,moisturising,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,126,Oatmeal And Pumpkin Scrub
127,scrub,brightening,glowing,normal,dullness,dark spots,tan,tan,wrinkles,NaN,127,Coffee And Cinnamon Scrub
128,scrub,dullness,dry,NaN,NaN,NaN,NaN,NaN,NaN,NaN,128,Sugar And Coconut Oil Scrub
129,scrub,dry,dullness,NaN,NaN,NaN,NaN,NaN,NaN,NaN,129,Sea Salt And Bergamot Scrub
130,scrub,oily,acne,pimple,moisturising,NaN,NaN,NaN,NaN,NaN,130,Oatmeal And Banana Scrub
131,scrub,anti ageing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,131,Coffee And Peppermint Scrub
132,scrub,moisturising,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,132,Sugar And Shea Butter Scrub
133,scrub,dullness,dry,NaN,NaN,NaN,NaN,NaN,NaN,NaN,133,Sea Salt And Jojoba Oil Scrub
134,scrub,dullness,dry,glowing,NaN,NaN,NaN,NaN,NaN,NaN,134,Oatmeal And Honey And Cinnamon Scrub
135,scrub,brightening,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,135,Coffee And Ginger Scrub
136,scrub,dry,dullness,NaN,NaN,NaN,NaN,NaN,NaN,NaN,136,Sugar And Grapeseed Oil Scrub
137,scrub,dullness,dry,anti ageing,moisturising,brightening,NaN,NaN,NaN,NaN,137,Sea Salt And Juniper Berry Scrub
138,scrub,open pores,moisturising,anti ageing,dullness,dry,glowing,NaN,NaN,NaN,138,Oatmeal And Honey And Oat Scrub
139,scrub,dry,dullness,pigmentation,moisturising,brightening,NaN,NaN,NaN,NaN,139,Coffee And Almond Scrub
140,scrub,glowing,dry,dullness,moisturising,anti ageing,NaN,NaN,NaN,NaN,140,Sugar And Rose Scrub
141,scrub,glowing,dullness,NaN,NaN,NaN,NaN,NaN,NaN,NaN,141,Sea Salt And Coconut Oil Scrub
142,scrub,moisturising,dry,NaN,NaN,NaN,NaN,NaN,NaN,NaN,142,Oatmeal And Honey And Avocado Scrub
143,scrub,brightening,moisturising,tan,dullness,dry,NaN,NaN,NaN,NaN,143,Coffee And Lemon And Olive Oil Scrub
144,scrub,anti ageing,pigmentation,moisturising,acne,wrinkles,tan,NaN,NaN,NaN,144,Sugar And Rosemary Scrub
145,scrub,moisturising,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145,Sea Salt And Grapefruit And Honey Scrub
146,scrub,moisturising,wrinkles,brightening,glowing,open pores,pigmentation,cleansing,normal,NaN,146,Oatmeal And Honey And Green Tea Scrub
147,scrub,wrinkles,pigmentation,acne,pimple,NaN,NaN,NaN,NaN,NaN,147,Coffee And Vanilla And Honey Scrub
148,scrub,open pores,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,148,Sugar And Cucumber Scrub
149,scrub,brightening,glowing,anti ageing,NaN,NaN,NaN,NaN,NaN,NaN,149,Sea Salt And Lavender Scrub
150,scrub,dry,dullness,oily,anti ageing,wrinkles,brightening,open pores,NaN,NaN,150,Oatmeal And Honey And Chamomile Scrub
151,scrub,glowing,brightening,NaN,NaN,NaN,NaN,NaN,NaN,NaN,151,Coffee And Turmeric Scrub
152,scrub,brightening,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,152,Sugar And Pomegranate Scrub
153,scrub,cleansing,brightening,NaN,NaN,NaN,NaN,NaN,NaN,NaN,153,Sea Salt And Sweet Orange Scrub
154,scrub,moisturising,brightening,dullness,dry,open pores,acne,pimple,NaN,NaN,154,Oatmeal And Honey And Coconut Oil Scrub
155,scrub,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,155,Coffee And Papaya Scrub
156,scrub,dry,dullness,moisturising,NaN,NaN,NaN,NaN,NaN,NaN,156,Sugar And Apricot Kernel Oil Scrub
157,scrub,dry,dullness,brightening,NaN,NaN,NaN,NaN,NaN,NaN,157,Sea Salt And Lemongrass Scrub
158,scrub,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,158,Oatmeal And Honey And Rose Water Scrub
159,scrub,tan,pigmentation,dark spots,anti ageing,dullness,dark circle,moisturising,glowing,NaN,159,Coffee And Rose And Almond Scrub
160,scrub,moisturising,dry,NaN,NaN,NaN,NaN,NaN,NaN,NaN,160,Sugar And Peppermint Scrub
161,scrub,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,161,Sea Salt And Green Tea Scrub
162,scrub,pimple,dry,brightening,moisturising,anti ageing,NaN,NaN,NaN,NaN,162,Oatmeal And Honey And Pumpkin Scrub
163,scrub,whitening,brightening,NaN,NaN,NaN,NaN,NaN,NaN,NaN,163,Coffee And Lime Scrub
164,scrub,cleansing,open pores,dullness,dry,tan,brightening,NaN,NaN,NaN,164,Sugar And Tea Tree And Honey Scrub
165,scrub,brightening,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,165,Sea Salt And Lavender And Almond Oil Scrub
166,scrub,moisturising,brightening,dullness,dry,NaN,NaN,NaN,NaN,NaN,166,Oatmeal And Honey And Chamomile Tea Scrub
167,scrub,brightening,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,167,Coffee And Grapefruit Scrub
168,scrub,oily,dry,normal,pimple,tan,NaN,NaN,NaN,NaN,168,Sugar And Jojoba And Lavender Scrub
169,scrub,dullness,dry,moisturising,glowing,NaN,NaN,NaN,NaN,NaN,169,Sea Salt And Peppermint And Honey Scrub
170,scrub,moisturising,dullness,dry,brightening,NaN,NaN,NaN,NaN,NaN,170,Oatmeal And Honey And Yogurt Scrub
171,scrub,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,171,Coffee And Cucumber Scrub
172,scrub,pimple,dry,dullness,NaN,NaN,NaN,NaN,NaN,NaN,172,Sugar And Orange Scrub
173,scrub,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,173,Sea Salt And Grape Seed And Rosemary Scrub
174,scrub,dry,dullness,moisturising,brightening,NaN,NaN,NaN,NaN,NaN,174,Oatmeal And Honey And Olive Oil Scrub
175,scrub,oily,dry,normal,pimple,tan,dullness,glowing,cleansing,normal,175,Coffee And Avocado And Honey Scrub
176,scrub,glowing,oily,dry,normal,pimple,tan,NaN,NaN,NaN,176,Sugar And Lavender
177,scrub,brightening,moisturising,NaN,NaN,NaN,NaN,NaN,NaN,NaN,177,Coffee And Hazelnut Scrub
178,scrub,normal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,178,Sugar And Chamomile Scrub
179,scrub,oily,normal,tan,dullness,NaN,NaN,NaN,NaN,NaN,179,Sea Salt And Grapefruit And Lemon Scrub
180,scrub,brightening,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180,Oatmeal And Honey And Green Apple Scrub
181,scrub,glowing,dry,dullness,NaN,NaN,NaN,NaN,NaN,NaN,181,Coffee And Rose And Jojoba Oil Scrub
182,scrub,brightening,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,182,Sugar And Orange And Vanilla Scrub
183,scrub,normal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,183,Sea Salt And Lavender And Mint Scrub
184,scrub,oily,acne,anti ageing,wrinkles,dry,pimple,dullness,brightening,glowing,184,Oatmeal And Honey And Cocoa Scrub
185,scrub,dark spots,glowing,whitening,tan,NaN,NaN,NaN,NaN,NaN,185,Sugar And Lemon Scrub
186,scrub,normal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,186,Sea Salt And Tea Tree Oil And Lavender Scrub
187,scrub,pimple,glowing,dullness,NaN,NaN,NaN,NaN,NaN,NaN,187,Oatmeal And Sugar And Lavender Scrub
188,scrub,glowing,dullness,NaN,NaN,NaN,NaN,NaN,NaN,NaN,188,Coffee And Coconut And Honey Scrub
189,scrub,dry,oily,normal,pimple,tan,NaN,NaN,NaN,NaN,189,Sugar And Peppermint And Coconut Oil Scrub
190,scrub,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,190,Sea Salt And Lemon And Almond Oil Scrub
191,scrub,brightening,tan,acne,pimple,normal,NaN,NaN,NaN,NaN,191,Oatmeal And Honey And Lemon Scrub
192,scrub,glowing,dark circle,NaN,NaN,NaN,NaN,NaN,NaN,NaN,192,Coffee And Papaya And Honey Scrub
193,scrub,dullness,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,193,Sugar And Lavender And Tea Tree Oil Scrub
194,scrub,moisturising,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,194,Sugar And Rose And Green Tea Scrub
195,scrub,moisturising,pigmentation,dullness,dry,glowing,anti ageing,NaN,NaN,NaN,195,Oatmeal And Honey And Brown Sugar Scrub
196,scrub,brightening,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,196,Coffee And Lemon And Brown Sugar Scrub
197,scrub,tan,dullness,brightening,moisturising,NaN,NaN,NaN,NaN,NaN,197,Sugar And Vanilla And Almond Oil Scrub
198,scrub,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,198,Sea Salt And Cucumber And Mint Scrub
199,scrub,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,199,Coffee And Honey And Coconut Oil And Cinnamon Scrub
200,scrub,dry,glowing,dullness,NaN,NaN,NaN,NaN,NaN,NaN,200,Sugar And Grapefruit And Olive Oil Scrub
201,scrub,brightening,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,201,Sea Salt And Rose And Peppermint Scrub
202,scrub,dry,dullness,moisturising,NaN,NaN,NaN,NaN,NaN,NaN,202,Coffee And Activated Charcoal Scrub
203,scrub,dullness,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,203,Blueberry Scrub
204,scrub,dullness,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,204,Green Tea And Pumpkin Scrub
205,scrub,dullness,glowing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,205,Chia Seed And Yogurt Blue Scrub
206,scrub,dullness,glowing,pigmentation,NaN,NaN,NaN,NaN,NaN,NaN,206,Oatmeal And Pineapple Scrub
207,scrub,dullness,glowing,pigmentation,NaN,NaN,NaN,NaN,NaN,NaN,207,Oats Meal And Blackberry Scrub
208,scrub,open pores,moisturising,acne,NaN,NaN,NaN,NaN,NaN,NaN,208,Oats Meal And Banana Scrub
209,scrub,dullness,brightening,moisturising,NaN,NaN,NaN,NaN,NaN,NaN,209,Turmeric And Lemon Facial Scrub
210,scrub,glowing,pigmentation,dark spots,NaN,NaN,NaN,NaN,NaN,NaN,210,Pumpkin Facial Scrub
211,scrub,glowing,pigmentation,dark spots,NaN,NaN,NaN,NaN,NaN,NaN,211,Diy Turmeric Scrub For Bright And Glowing Skin How To Fade Dark Spots
212,scrub,glowing,pigmentation,dark spots,NaN,NaN,NaN,NaN,NaN,NaN,212,Diy: Exfoliating Glow Scrub Sugar Honey Turmeric Lemon Juice
213,scrub,glowing,pigmentation,dark spots,pimple,acne,cleansing,normal,NaN,NaN,213,Almond Scrub
214,scrub,glowing,dullness,dry,cleansing,NaN,NaN,NaN,NaN,NaN,214,Sugar And Lemon Scrub
215,scrub,glowing,dullness,dry,cleansing,NaN,NaN,NaN,NaN,NaN,215,Banana Scrub
216,scrub,brightening,moisturising,NaN,NaN,NaN,NaN,NaN,NaN,NaN,216,Rice Flour And Rose Water Scrub
217,scrub,brightening,dark spots,glowing,anti ageing,normal,NaN,NaN,NaN,NaN,217,Diy Rose Scrub
218,scrub,brightening,dark spots,glowing,anti ageing,normal,NaN,NaN,NaN,NaN,218,Emulsified Sugar Scrub With Turmeric Rice And Coffee
219,scrub,glowing,brightening,pigmentation,NaN,NaN,NaN,NaN,NaN,NaN,219,Potato Scrub
220,scrub,brightening,cleansing,NaN,NaN,NaN,NaN,NaN,NaN,NaN,220,Mulpigmentationi Mitti Scrub
221,scrub,dark circle,dark spots,NaN,NaN,NaN,NaN,NaN,NaN,NaN,221,Coffee And Honey Scrub
222,scrub,moisturising,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,222,Oats And Coconut Scrub
223,scrub,dullness,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,223,Brown Sugar And Oil Scrub
224,scrub,dullness,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,224,Sugar Olive Oil Honey Scrub
225,scrub,dullness,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,225,Brown Sugar And Coffee Scrub
226,scrub,dullness,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,226,Himalayan Pink Salt Scrub
227,scrub,anti ageing,glowing,brightening,dullness,tan,acne,normal,moisturising,wrinkles,227,Diy Anti Aging Face Scrub Recipe
228,scrub,moisturising,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,228,Sugar And Herbal Oil And Virgin Oil Scrub
229,scrub,dullness,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,229,Brown Sugar And Vanilla Scrub
230,scrub,whitening,glowing,tan,normal,pigmentation,dark spots,brightening,NaN,NaN,230,Pineapple Turmeric Body Scrub
231,scrub,tan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,231,Strawberry Coconut Body Scrub
